# Downloaded from finance.yahoo.com
Date,Open,High,Low,Close,Volume,Adj Close
2010-12-14,417.475,417.475,417.475,417.475,000,417.475
2010-12-13,420.471,420.471,420.471,420.471,000,420.471
2010-12-10,417.679,417.679,417.679,417.679,000,417.679
2010-12-09,420.685,420.685,420.685,420.685,000,420.685
2010-12-08,422.103,422.103,422.103,422.103,000,422.103
2010-12-07,419.422,419.422,419.422,419.422,000,419.422
2010-12-06,420.248,420.248,420.248,420.248,000,420.248
2010-12-03,417.159,417.159,417.159,417.159,000,417.159
2010-12-02,416.794,416.794,416.794,416.794,000,416.794
2010-12-01,407.862,407.862,407.862,407.862,000,407.862
2010-11-30,396.067,396.067,396.067,396.067,000,396.067
2010-11-29,397.908,397.908,397.908,397.908,000,397.908
2010-11-26,402.355,402.355,402.355,402.355,000,402.355
2010-11-25,404.812,404.812,404.812,404.812,000,404.812
2010-11-24,404.368,404.368,404.368,404.368,000,404.368
2010-11-23,399.992,399.992,399.992,399.992,000,399.992
2010-11-22,409.511,409.511,409.511,409.511,000,409.511
2010-11-19,410.456,410.456,410.456,410.456,000,410.456
2010-11-18,410.454,410.454,410.454,410.454,000,410.454
2010-11-17,403.925,403.925,403.925,403.925,000,403.925
2010-11-16,401.62,401.62,401.62,401.62,000,401.62
2010-11-15,414.345,414.345,414.345,414.345,000,414.345
2010-11-12,412.689,412.689,412.689,412.689,000,412.689
2010-11-11,416.373,416.373,416.373,416.373,000,416.373
2010-11-10,412.608,412.608,412.608,412.608,000,412.608
2010-11-09,415.562,415.562,415.562,415.562,000,415.562
2010-11-08,411.371,411.371,411.371,411.371,000,411.371
2010-11-05,412.373,412.373,412.373,412.373,000,412.373
2010-11-04,412.385,412.385,412.385,412.385,000,412.385
2010-11-03,404.04,404.04,404.04,404.04,000,404.04
2010-11-02,412.328,412.328,412.328,412.328,000,412.328
2010-11-01,408.725,408.725,408.725,408.725,000,408.725
2010-10-29,404.619,404.619,404.619,404.619,000,404.619
2010-10-28,402.501,402.501,402.501,402.501,000,402.501
2010-10-27,399.425,399.425,399.425,399.425,000,399.425
2010-10-26,403.644,403.644,403.644,403.644,000,403.644
2010-10-25,401.963,401.963,401.963,401.963,000,401.963
2010-10-22,397.865,397.865,397.865,397.865,000,397.865
2010-10-21,399.611,399.611,399.611,399.611,000,399.611
